CV,325
MMA,26
Carga util,15
Num ejes,22
Num servicios por veh,4.56
Kilometraje anual,50000
% Kilometraje anual vacio,22.22
Horas anuales trabajadas,1768
Dias de actividad,221
Precio venta sin IVA (Cabeza tractora),78003.54
Precio venta sin IVA (Semirremolque),11404.02
Dto. Medio sobre tarifa (Cabeza tractora),4
Dto. Medio sobre tarifa (Semirremolque),4
Valor residual % (Cabeza tractora),10
Valor residual % (Semirremolque),10
Periodo amortizacion (Cabeza tractora),10
Periodo amortizacion (Semirremolque),10
Veh. Cuantia a financiar,70
Periodo a financiar,5
Tipo interes anual,5.8
Seguridad social empresa %,39.4
Retribucion 1 conductor mecanico,24901.95
Plus de asistencia,0
Visado autorizacion de Tte,44
Impuesto Veh. Traccion Mec,364.25
Coste ITV,58.31
Coste IAE,0
Coste revision tacografo,61.68
Coste ATP,0
Coste ADR,0
Seguro solo obligatorio,0
Seguro obligatorio + terceros,2470.23
Seguro todo riesgo,0
Seguro mercancia,324.29
Responsabilidad civil,2178.1
Otros gastos fijos,0
Precio bruto gasoleo,1.31
Descuento medio sobre combustible,3
Consumo medio,30
Dieta media,12.96
Num de dias,165
Precio bruto neumaticos,705.57
Descuento medio neumaticos (%),7
Duracion media neumaticos,101667
Num total de neumaticos,8
Mantenimiento y reparacion,0.04
Coste medio Km de autopista,8.3
% servicios que pagan peajes,12.33
Gastos anuales generales,0
